rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation	dynamics	syllabic_interval	syllable_type	has_nucleus	pausebefore	pauseafter	nucleus_ctr	delivery	if	promauto	prommanu	eval	promF0rel	promDURrel	promMVT	promF0weight	promDURweight	promF0rel_th	promDURrel_th	promMVT_th	promPAUSE_th	promCUM	promGRAD	file	style	geo	npho	sylldurbynpho	bomu	eomu	mu_label	word	w_nbwords	w_lex	w_nbsyll	w_possylldeb	w_possyllfin	w_gra	w_pre	w_contexte	z_pre	z_post	pds	pause_label	pause_type	rgr_label	rgr_pos	seq_label	seq_pos	urc_label	urc_pos	syllabledurlog10
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245	0	0	0.245	0	0	0	0	1	0	0	0	0	0	?	?	_	_	_	0	0	0	?	?	0	0	0	0	?	?	prince	pri	ce	1	0.245	1	1	_	_	0	?	0	0	0	?	?	?	0	0	0	?	2	?	0	?	0	?	0	2.3891660843645326
o~	0.3105625	0.35056250000000005	0.040000000000000036	224.53848626050197	93.70797951347619	224	224	224	224.53848626050197	0	0.8783924647143169	0.8783924647143169	0	0.8783924647143169	0.3105625	0.11000000000000004	0	0	0.35500000000000004	0	0	0	0	2	2	1	0.245	0	0	?	?	0	0	1	-1.8794718271046946	0.6027397260273976	0	1	2	0	0	0	0	-1.5321762621410642	2	prince	pri	ce	1	0.11000000000000004	1	0	on ne connaît que les choses que l'on apprivoise dit le renard	on	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.0413926851582254
n@	0.3555625	0.4555625000000001	0.10000000000000009	249.56016168302074	95.58745134058088	249	249	249	249.56016168302074	0	1.671837473606256	1.671837473606256	1.8290988335586884	1.671837473606256	0.004999999999999949	0.12	0	0	0.47500000000000003	0	0	0	0	3	2	1	0	0	0	?	?	0	0	1	-0.11252673867572582	0.7643312101910827	0	4	5	0	0	0	0	-0.5772845746798847	4	prince	pri	ce	2	0.06	0	0	?	ne	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.0791812460476247
kO	0.5905625	0.6305625	0.040000000000000036	282.47289475633426	97.69197664503703	282	282	282	282.47289475633426	0	-0.48182748015328797	0	2.144697459547954	0.48182748015328797	0.1349999999999999	0.15999999999999998	0	0	0.635	0	0	0	0	4	2	1	0	0	0	?	?	0	0	1	1.2063950458516217	1.2307692307692302	0	5	5	0	0	0	0	0.6844061940728238	7	prince	pri	ce	2	0.07999999999999999	0	0	?	connaît	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.2041199826559246
nE	0.6455624999999999	0.7555625	0.1100000000000001	308.5629807281758	98.77251290064454	269	323	269	323.3269837702089	1	3.223917429978906	3.223917429978906	-0.8232848764105893	3.223917429978906	0.014999999999999902	0.15000000000000002	0	0	0.785	0	0	0	3.223917429978906	5	2	1	0	0	0	?	?	1	1	1	0.449374322070895	1.0714285714285716	3.223917429978906	5	5	0	0	1	0	0.6818435486063752	7	prince	pri	ce	2	0.07500000000000001	0	0	?	connaît	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.1760912590556813
k@	0.8805624999999999	0.9105624999999999	0.030000000000000027	331.0603182728529	100.32214413110665	331	331	331	331.0603182728529	0	-1.3190906982610222	0	0.4092021733427873	1.3190906982610222	0.12499999999999989	0.13	0	0	0.915	0	0	0	0	6	2	1	0	0	0	?	?	1	1	1	2.7793348473128106	0.9558823529411769	0	5	5	1	0	0	0	0.8697931531139017	7	prince	pri	ce	2	0.065	0	0	?	que	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.113943352306837
le	0.9455625	1.0205624999999996	0.07499999999999962	258.8592778584121	96.23852198632157	258	258	258	258.8592778584121	0	-3.7587117291429952	0	-4.259112825595725	3.7587117291429952	0.03500000000000003	0.10999999999999988	0	0	1.025	0	0	0	0	7	2	1	0	0	0	?	?	0	0	1	-2.5412381192926006	0.5339805825242712	0	5	5	0	0	0	0	-1.9028854641871715	1	prince	pri	ce	2	0.05499999999999994	0	0	?	les	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.0413926851582245
Soz	1.1805625	1.275562499999998	0.09499999999999798	276.63832379590684	97.2409996826065	276	276	276	276.63832379590684	0	1.4306976558734381	1.4306976558734381	1.1499960640210363	1.4306976558734381	0.16000000000000036	0.31000000000000005	0	0	1.335	0	0	0	0	8	2	1	0	0	0	?	?	1	1	1	1.1419616933044239	2.627118644067799	0	5	5	0	1	0	0	2.875366105949757	9	prince	pri	ce	3	0.10333333333333335	0	0	?	choses	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.4913616938342726
k@	1.4305625	1.4505624999999995	0.019999999999999574	228.24171825672377	93.8480009213803	228	228	228	228.24171825672377	0	-0.7674666623254042	0	-3.3292622344735636	0.7674666623254042	0.15500000000000203	0.11999999999999988	0	0	1.4549999999999998	0	0	0	0	9	2	1	0	0	0	?	?	0	0	1	-1.039539595024749	0.6593406593406587	0	5	5	0	0	0	0	-1.1103444863126455	2	prince	pri	ce	2	0.05999999999999994	0	0	?	que	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.079181246047624
lo~	1.4555624999999999	1.540562499999998	0.08499999999999819	199.99428884170115	91.85859061524538	199	199	199	199.99428884170115	0	-1.566486610317531	0	-2.287244530846344	1.566486610317531	0.0050000000000003375	0.09000000000000008	0	0	1.545	0	0	0	0	10	2	1	0	0	0	?	?	0	0	1	-3.146429064716031	0.5696202531645578	0	5	5	0	0	0	0	-2.0855204656909274	1	prince	pri	ce	2	0.04500000000000004	0	0	?	l'on	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	1.9542425094393252
